,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
56,Seneca the Younger,Epistulae ad Lucilium (51-60),epistolography,seneca.ad_lucilium_epistulae_morales.part.6.51-60.txt,7741,572,13.533216783216783,0.3741258741258741,4.47766323024055,18,4,1,749,27,327,13,57,36,83,31,21,3,255,391,0,36,1,0,55,85,36,70
57,Seneca the Younger,Epistulae ad Lucilium (61-70),epistolography,seneca.ad_lucilium_epistulae_morales.part.7.61-70.txt,9181,708,12.966101694915254,0.3587570621468927,4.629411764705883,41,0,0,891,21,411,6,78,40,100,32,31,5,250,514,0,22,4,0,64,96,42,73
58,Seneca the Younger,Epistulae ad Lucilium (71-80),epistolography,seneca.ad_lucilium_epistulae_morales.part.8.71-80.txt,12747,920,13.855434782608697,0.375,4.715447154471545,54,3,0,1345,26,563,8,116,60,129,81,33,5,317,651,0,23,0,1,83,203,31,77
59,Seneca the Younger,Epistulae ad Lucilium (81-90),epistolography,seneca.ad_lucilium_epistulae_morales.part.9.81-90.txt,18235,1308,13.940366972477063,0.3891437308868501,4.702158273381295,85,7,3,1783,38,750,17,154,88,191,75,74,8,336,1037,0,34,5,1,109,200,77,130
60,Seneca the Younger,Epistulae ad Lucilium (91-100),epistolography,seneca.ad_lucilium_epistulae_morales.part.10.91-100.txt,17046,1200,14.195833333333333,0.3716666666666666,4.5220949263502455,77,3,3,1722,29,737,9,184,88,188,90,72,3,348,946,0,32,0,3,121,202,69,112
61,Seneca the Younger,Epistulae ad Lucilium (101-110),epistolography,seneca.ad_lucilium_epistulae_morales.part.11.101-110.txt,10355,734,14.099455040871934,0.3610354223433242,4.646239554317549,64,5,1,1069,28,397,11,87,48,122,45,53,5,291,499,0,27,1,0,79,133,40,86
62,Seneca the Younger,Epistulae ad Lucilium (111-120),epistolography,seneca.ad_lucilium_epistulae_morales.part.12.111-120.txt,10735,809,13.26452410383189,0.3250927070457354,4.479674796747967,84,2,2,1078,24,480,11,66,30,133,45,51,5,307,499,0,30,2,5,86,129,18,94
63,Seneca the Younger,Epistulae ad Lucilium (121-124),epistolography,seneca.ad_lucilium_epistulae_morales.part.13.121-124.txt,4748,348,13.64367816091954,0.3706896551724138,4.650887573964497,26,1,0,448,12,212,5,42,20,58,13,14,0,120,265,0,10,0,0,54,49,12,25
64,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.14.txt,8221,269,30.50557620817844,0.6059479553903345,5.661016949152542,27,1,11,719,29,230,9,77,41,2,12,1,0,60,527,0,47,1,0,38,31,19,108
65,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.15.txt,6872,247,27.74089068825911,0.4817813765182186,5.647398843930636,25,3,2,576,15,183,12,76,23,0,19,0,0,58,434,0,22,0,0,37,19,21,105
66,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.16.txt,7676,243,31.448559670781894,0.5473251028806584,5.472222222222222,25,2,2,673,25,182,10,102,27,4,22,2,1,79,470,0,40,1,0,54,27,24,95
67,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.17.txt,7396,266,27.75563909774436,0.5037593984962406,5.323076923076923,20,2,4,641,12,154,12,81,36,2,19,0,0,65,400,0,18,0,0,39,27,21,93
68,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.18.txt,5042,152,33.13157894736842,0.5789473684210527,5.231343283582089,11,0,2,423,19,111,18,50,31,4,14,0,0,50,318,0,16,2,0,16,17,33,55
69,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.19.txt,5710,174,32.7816091954023,0.5344827586206896,5.6938775510204085,29,2,1,464,13,86,13,61,22,0,12,0,0,38,360,1,22,0,1,15,17,18,71
70,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.20.txt,6488,222,29.17117117117117,0.5720720720720721,5.087431693989071,17,2,5,592,33,137,12,54,39,0,18,0,0,52,360,0,17,0,0,27,21,25,70
71,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.21.txt,7146,250,28.5,0.528,5.331632653061225,29,4,2,683,21,191,13,98,33,2,16,0,0,66,434,0,25,4,0,47,28,26,103
72,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.22.txt,8920,303,29.353135313531357,0.6336633663366337,6.034602076124568,36,2,3,788,22,234,11,78,41,3,26,0,3,58,598,0,37,4,0,40,24,31,97
73,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.23.txt,6843,269,25.394052044609666,0.5576208178438662,6.0772946859903385,28,4,5,685,14,191,5,54,26,0,29,0,0,39,408,0,18,0,0,20,22,44,78
74,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.24.txt,5786,208,27.778846153846157,0.5336538461538461,5.575,26,1,3,455,21,93,9,49,18,0,22,1,0,53,311,0,16,1,0,33,13,30,58
75,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.25.txt,6813,237,28.717299578059077,0.5611814345991561,5.089005235602095,22,2,4,585,22,156,18,72,26,2,21,2,1,52,428,0,32,0,0,28,30,27,91
76,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.26.txt,6323,194,32.54123711340206,0.5515463917525774,4.946745562130178,18,1,7,513,12,141,8,75,35,0,17,0,0,47,419,0,34,1,1,38,22,34,84
77,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.27.txt,6282,216,29.03240740740741,0.6203703703703703,5.303664921465969,21,4,1,548,19,157,9,76,26,3,18,0,0,50,386,0,18,0,0,33,25,28,75
78,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.28.txt,7162,245,29.175510204081636,0.563265306122449,5.494736842105263,28,3,5,618,21,207,13,79,38,2,24,0,0,52,476,0,46,2,0,46,31,26,129
79,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.29.txt,7697,236,32.54661016949152,0.690677966101695,5.190082644628099,24,1,6,595,23,177,14,84,36,3,40,1,1,52,500,0,34,1,0,39,28,27,96
80,Ammianus,Rerum Gestarum,historiography,ammianus.rerum_gestarum.part.30.txt,6066,178,34.02808988764045,0.6629213483146067,5.2368421052631575,18,2,7,511,24,184,6,81,22,0,24,0,0,44,379,0,24,0,0,33,33,19,94
81,Augustus Caesar,Res Gestae Divi Augusti,historiography,ammianus.rerum_gestarum.part.31.txt,9603,334,28.736526946107784,0.5029940119760479,5.481781376518219,34,1,8,878,13,188,17,116,50,0,34,0,0,60,585,0,28,0,0,52,26,22,105
