,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
68,Claudian,De Bello Gothico,epic,claudian.de_bello_gothico.txt,4049,176,22.9375,0.25,7.015873015873016,3,0,1,391,4,47,11,22,10,24,17,0,7,57,117,0,0,1,0,14,29,1,15
69,Claudian,De Consulatu Stilichonis 1,epic,claudian.de_consulatu_stilichonis.part.1.txt,2296,117,19.623931623931625,0.282051282051282,5.211538461538462,4,0,0,198,3,32,1,6,4,19,3,1,0,38,59,0,0,1,0,7,12,2,9
70,Claudian,De Consulatu Stilichonis 2,epic,claudian.de_consulatu_stilichonis.part.2.txt,2904,136,21.352941176470587,0.3897058823529412,6.554216867469879,3,0,0,248,4,40,4,17,13,19,10,1,1,58,68,0,0,2,0,7,8,2,19
71,Claudian,De Consulatu Stilichonis 3,epic,claudian.de_consulatu_stilichonis.part.3.txt,2386,119,20.050420168067227,0.3529411764705882,6.737704918032787,5,0,0,209,2,45,1,10,2,14,9,1,4,35,76,0,0,1,0,10,19,0,4
72,Claudian,De Raptu Proserpinae 1,epic,claudian.de_raptu_proserpinae.part.1.txt,1776,80,22.175,0.2875,9.34375,0,0,0,155,1,12,1,13,1,13,2,0,1,23,39,0,0,0,0,5,5,5,0
73,Claudian,De Raptu Proserpinae 2,epic,claudian.de_raptu_proserpinae.part.2.txt,2493,125,19.944,0.104,5.363636363636363,5,0,0,221,1,27,3,3,1,12,2,0,6,43,60,0,0,2,0,8,8,2,1
74,Claudian,De Raptu Proserpinae 3,epic,claudian.de_raptu_proserpinae.part.3.txt,2729,194,14.061855670103093,0.1443298969072164,5.864864864864865,2,0,0,266,1,44,4,10,9,56,8,0,4,58,50,0,0,2,0,8,17,1,8
75,Claudian,In Eutropium 1,epic,claudian.in_eutropium.part.1.txt,3105,192,16.125,0.1979166666666666,5.170212765957447,4,0,0,296,5,48,7,11,9,60,5,2,1,45,91,0,2,1,0,21,16,6,10
76,Claudian,In Eutropium 2,epic,claudian.in_eutropium.part.2.txt,4098,250,16.368,0.248,5.602272727272728,9,0,0,349,7,58,11,21,8,45,11,0,2,63,132,0,0,1,0,20,15,4,7
77,Claudian,In Rufinum 1,epic,claudian.in_rufinum.part.1.txt,2434,125,19.416,0.208,7.371428571428571,1,0,0,235,4,29,0,12,4,14,5,2,2,40,66,0,0,0,0,3,16,1,3
78,Claudian,In Rufinum 2,epic,claudian.in_rufinum.part.2.txt,3322,208,15.889423076923077,0.2115384615384615,6.428571428571429,7,0,0,296,1,48,6,17,3,39,7,2,0,67,111,0,0,1,0,18,11,2,5
79,Dracontius,Romulea 1,epic,dracontius.romulea.part.1.txt,141,5,28.0,0.6,5.142857142857143,0,0,0,4,0,2,0,2,0,0,1,0,1,3,4,0,0,0,0,0,0,0,2
80,Dracontius,Romulea 2,epic,dracontius.romulea.part.2.txt,1077,55,19.563636363636363,0.2909090909090909,5.95,0,0,0,71,5,15,2,1,1,8,7,1,4,20,42,0,0,0,0,5,8,0,11
81,Dracontius,Romulea 3,epic,dracontius.romulea.part.3.txt,128,5,25.6,0.2,5.0,0,0,0,20,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,3,0,1
