,genre,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
plautus.miles_gloriosus.txt,drama,11852,1387,8.51405912,0.16222062,4.519855596,0.002278097,0,0.000590618,0.079902126,0.001603105,0.063027337,0.002446844,0.002446844,0.009112386,0.026746541,0.001603105,0.007171785,0.000590618,0.07956463,0.036533918,0.000590618,0.000337496,0.002868714,0,0.005484306,0.014512319,0.000674992,0.012656092
plautus.mostellaria.txt,drama,8908,1300,6.846153846,0.115384615,4.554913295,0.00246969,0,0.000224517,0.067130669,0.001459362,0.058599012,0.001010328,0.001347104,0.007072295,0.03805568,0.000785811,0.009429726,0.000449035,0.079928154,0.029636282,0.000449035,0.000112259,0.002918725,0,0.004041311,0.010889088,0.000898069,0.011338123
plautus.persa.txt,drama,7189,1024,7.014648438,0.153320313,4.229885057,0.001112811,0,0.000834608,0.074697454,0.001112811,0.055084156,0.001530115,0.002225622,0.007511476,0.033106134,0.002086521,0.006259563,0.000695507,0.086381972,0.029906802,0.000139101,0.000139101,0.003616637,0,0.002086521,0.013353735,0,0.014605648
plautus.poenulus.txt,drama,10733,1395,7.686738351,0.154121864,4.334677419,0.0015839,0,0.000745365,0.071834529,0.001118047,0.057113575,0.001304388,0.002608777,0.00465853,0.027671667,0.001770241,0.005497065,0.001024877,0.076120376,0.033355073,0.000652194,0.000186341,0.0015839,0,0.00465853,0.012950713,0.000838535,0.012019007
plautus.pseudolus.txt,drama,10477,1278,8.19170579,0.154147105,4.546558704,0.002767968,0,0.001240813,0.07521237,0.001049919,0.056791066,0.001718049,0.00133626,0.005345042,0.033406509,0.002481626,0.006013172,0.000477236,0.083707168,0.031783908,0.000572683,9.54E-05,0.002386179,0,0.003149757,0.014412523,0.000859025,0.015271547
plautus.rudens.txt,drama,11043,1365,8.086446886,0.164102564,4.738970588,0.001448882,0,0.000271665,0.07081409,0.001720547,0.058045821,0.002807208,0.001720547,0.00425609,0.030607625,0.001177216,0.00869329,0.000814996,0.075341846,0.039119804,0.00036222,9.06E-05,0.001539437,0,0.003622204,0.014669927,0.001448882,0.013039935
plautus.stichus.txt,drama,5934,719,8.248956885,0.152990264,4.361538462,0.002696326,0,0.000337041,0.070441523,0.000505561,0.049039434,0.001516684,0.002359285,0.003538928,0.02578362,0.002022245,0.004044489,0.001011122,0.081058308,0.034883721,0.000337041,0,0.002190765,0.00016852,0.004044489,0.011459387,0.000674082,0.012133468
plautus.trinummus.txt,drama,9351,977,9.561924258,0.222108495,4.315217391,0.002780451,0,0.001283285,0.081916373,0.000962464,0.062453214,0.001390226,0.001176345,0.0050262,0.025986526,0.003742915,0.005667843,0.000855523,0.075072185,0.038605497,0.000427762,0.000427762,0.00256657,0,0.003849856,0.016575767,0.000748583,0.011763448
plautus.truculentus.txt,drama,7829,915,8.550819672,0.202185792,4.34893617,0.002682335,0,0.000383191,0.06539788,0.002299144,0.053391238,0.003576447,0.002554605,0.00523694,0.031293907,0.002937795,0.008430195,0.000383191,0.07625495,0.036275386,0.000638651,0,0.001277302,0,0.004470558,0.011623451,0.00025546,0.01111253
propertius.elegies.txt,elegy,25309,1500,16.848,0.245333333,5.475750577,0.000829744,0,7.90E-05,0.079299854,0.001659489,0.022956261,0.001066814,0.003002884,0.001817535,0.008297444,0.003081908,0.001619977,0.001185349,0.042198427,0.036864357,0,0.000316093,0.00047414,0,0.001501442,0.009996444,0.000158047,0.003160931
prudentius.apotheosis.txt,epic,7451,266,27.87593985,0.462406015,5.72985782,0.001073681,0,0.001207892,0.085760301,0.002013153,0.01529996,0.001476312,0.005099987,0.002415783,0.010602604,0.00778419,0.000805261,0.000671051,0.01529996,0.037176218,0,0,0.00026842,0,0.006844719,0.005099987,0.000939471,0.006442088
prudentius.contra_symmachum.part.1.txt,epic,4517,142,31.75352113,0.387323944,7.361445783,0.000885544,0,0.001328315,0.092760682,0.000442772,0.014832854,0.001771087,0.004870489,0.003320788,0.004870489,0.003984946,0.000442772,0.000664158,0.01018375,0.044498561,0,0.000442772,0.000221386,0,0.004206332,0.007305734,0.000885544,0.005313261
prudentius.contra_symmachum.part.2.txt,epic,7545,276,27.21376812,0.434782609,6.115789474,0.001325381,0,0.001060305,0.099933731,0.001325381,0.013651425,0.001192843,0.00702452,0.005168986,0.008747515,0.003180915,0.000927767,0.000795229,0.014579192,0.035917826,0.000132538,0.000530152,0.000530152,0,0.003976143,0.005301524,0.001457919,0.004241219
prudentius.dittochaeon.txt,miscellaneous,1250,72,17.36111111,0.25,5.863636364,0.0008,0,0.004,0.0544,0,0.0216,0.0024,0.0048,0.0016,0,0.0024,0.0024,0.0008,0.0056,0.0496,0,0,0,0,0.0032,0,0,0.0016
prudentius.epilogus.txt,miscellaneous,135,10,13.5,0.2,5.5,0,0,0,0.088888889,0,0.007407407,0,0,0,0,0,0,0,0.014814815,0.044444444,0,0,0,0,0,0,0,0.014814815
prudentius.hamartigenia.txt,epic,6433,187,34.20855615,0.475935829,6.828571429,0.00202083,0,0.00202083,0.089071973,0.001243588,0.014767605,0.002798072,0.004197109,0.001709933,0.005907042,0.004818903,0.000621794,0.000310897,0.011658635,0.040261153,0,0.000155448,0.000466345,0,0.004818903,0.005440696,0.000621794,0.004663454
